STATE,EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
TEXAS,5623982,1997,June,F1,33.17,-98.4,33.07,-98.38,0,0,0,0,,
CALIFORNIA,5600705,1997,July,F0,34.58,-118.12,34.58,-118.12,0,0,0,0,,
TEXAS,5611422,1997,June,F0,30.68,-104.5,30.68,-104.5,0,0,0,0,,
NORTH CAROLINA,5612602,1997,July,F0,34.15,-78.1,34.15,-78.1,0,0,0,0,,
NORTH CAROLINA,5612603,1997,July,F0,34.25,-78.05,34.25,-78.05,0,0,0,0,2K,
KANSAS,5619258,1997,July,F0,38.67,-97.03,38.67,-96.97,0,0,0,0,,
TEXAS,5618786,1997,June,F1,34.03,-98.38,34.13,-98.32,0,0,0,0,150K,
MONTANA,5612750,1997,July,F0,45.22,-112.85,45.22,-112.85,0,0,0,0,,
OREGON,5611516,1997,June,F0,44.63,-123.38,44.63,-123.37,0,0,0,0,0,
KENTUCKY,5607643,1997,July,F0,38.18,-85.53,38.17,-85.53,0,0,0,0,,
KENTUCKY,5611854,1997,July,F0,37.2,-84.53,37.2,-84.53,0,0,0,0,2K,2K
COLORADO,5607372,1997,July,F1,39.52,-104.77,39.52,-104.77,0,0,0,0,,0
TEXAS,5611761,1997,July,F0,29.9,-93.93,29.9,-93.93,3,0,0,0,50K,
IOWA,5606689,1997,July,F0,43.32,-96.45,43.32,-96.45,0,0,0,0,,
IOWA,5606690,1997,July,F0,42.78,-96.1,42.78,-96.1,0,0,0,0,,
MASSACHUSETTS,5613838,1997,July,F1,42.67,-72.83,42.67,-72.68,0,0,0,0,50K,
OKLAHOMA,5620502,1997,June,F0,35.52,-96.37,35.52,-96.37,0,0,0,0,,
KENTUCKY,5615109,1997,August,F0,38.05,-83.77,38.05,-83.77,0,0,0,0,25K,0K
SOUTH DAKOTA,5612136,1997,July,F0,45.3,-97.32,45.3,-97.32,0,0,0,0,,
MINNESOTA,5607872,1997,July,F0,45.77,-92.9,45.75,-92.87,0,0,0,0,,
MONTANA,5606518,1997,July,F0,45.88,-111.33,45.88,-111.33,0,0,0,0,,
MONTANA,5606519,1997,July,F0,45.88,-111.33,45.88,-111.33,0,0,0,0,0,0
