STATE,EVENT_ID,YEAR,MONTH_NAME,FLOOD_CAUSE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
IOWA,5603120,1997,July,,,,,,0,0,0,0,25K,15K
MICHIGAN,5588272,1997,February,,,,,,0,0,0,0,,
KANSAS,5587271,1997,February,,,,,,0,0,0,0,,
MISSOURI,5587272,1997,February,,,,,,0,0,0,0,,
MISSOURI,5587273,1997,February,,,,,,0,0,0,0,,
MISSOURI,5587274,1997,February,,,,,,0,0,0,0,,
TEXAS,5602401,1997,June,,,,,,0,0,0,0,2M,1M
TEXAS,5602402,1997,June,,,,,,0,0,0,0,,
TEXAS,5602403,1997,June,,,,,,0,0,0,0,,
TEXAS,5602404,1997,June,,,,,,0,0,0,0,,
MONTANA,5587795,1997,January,,,,,,0,0,0,0,,
PENNSYLVANIA,5588316,1997,January,,,,,,0,0,0,0,8K,
OHIO,5588322,1997,January,,,,,,0,0,0,0,,
CALIFORNIA,5590324,1997,January,,,,,,0,0,0,0,,
CALIFORNIA,5590325,1997,January,,,,,,0,0,0,0,,
CALIFORNIA,5590326,1997,January,,,,,,0,0,0,0,,
CALIFORNIA,5590327,1997,January,,,,,,0,0,0,0,,
CALIFORNIA,5590328,1997,January,,,,,,0,0,0,0,,
CALIFORNIA,5590329,1997,January,,,,,,0,0,0,0,,
CALIFORNIA,5590330,1997,January,,,,,,0,0,0,0,,
CALIFORNIA,5590331,1997,January,,,,,,0,0,0,0,,
OREGON,5600565,1997,January,,,,,,0,0,0,0,,
IOWA,5586123,1997,February,,,,,,0,0,0,0,,
INDIANA,5588526,1997,February,,,,,,0,0,0,0,,
KENTUCKY,5588527,1997,February,,,,,,0,0,0,0,,
IOWA,5585538,1997,February,,,,,,0,0,0,0,,
INDIANA,5585940,1997,February,,,,,,0,0,0,0,,
INDIANA,5585941,1997,February,,,,,,0,0,0,0,,
MISSOURI,5587462,1997,February,,,,,,0,0,0,0,,
