EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,STATE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
5258567,2001,July,,MISSOURI,,,,,0,0,0,0,
5258568,2001,July,,MISSOURI,,,,,0,0,0,0,
5258569,2001,July,,MISSOURI,,,,,0,0,0,0,
5258910,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258911,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258912,2001,July,,ILLINOIS,,,,,0,0,0,0,
5259034,2001,July,,ILLINOIS,,,,,0,0,0,0,
5259035,2001,July,,ILLINOIS,,,,,0,0,0,0,
5259037,2001,July,,ILLINOIS,,,,,0,0,0,0,
5259041,2001,June,,ILLINOIS,,,,,0,0,1,0,
5258790,2001,July,,MISSOURI,,,,,0,0,0,0,
5259031,2001,July,,ILLINOIS,,,,,0,0,0,0,
